,X,Y,FID,Title,Type,Address,Latitude,Longitude,Artist_Last_,Artist_First,Additional_Artists,Media,Year_Created,Year_Erected,TNT_Area,Neighborhood,Specific_Location,Image_Url,place_id,lat,lng,restaurant,order
0,-76.14775,43.0470760000001,1,The Grazers,Sculpture,317 East Jefferson St,43.047076,-76.14775,Reid IV,Leon,,"Parking  meters, steel, enamel, anchor bolts",2007.0,2007.0,Downtown,Columbus Circle,On sidewalk,https://www.syr.gov/files/sharedassets/public/1-boards-and-commissions/spac/public-art-images/grazers_leon-reid_2007.jpg,ChIJPX9FlaFTwokRMAStQBSdL74,40.720429,-74.16658199999999,VD Lisboa Royal,The Grazers
1,-76.1795999999999,43.0482920000001,2,Taras H. Shevchenko,Monument,198 South Wilbur Ave,43.048292,-76.1796,Benedict,Dexter,~,,,,Westside,Tipperary Hill,On an island at the intersection of West Fayette Street and Wilbur and Tennyson Avenues,,EiYxOTggUyBXaWxidXIgQXZlLCBTYXlyZSwgUEEgMTg4NDAsIFVTQSIxEi8KFAoSCRdm9kdkCdCJEf9Be13RNx0SEMYBKhQKEgknnzY3bwnQiRGHnFrM6oSofw,41.9815137,-76.5185613,Celebrations Black Diamond Cafe,Syracuse Firsts
2,-76.185513,43.046728,3,Stone Throwers Monument,Monument,Milton Ave & Tompkins Ave,43.046728,-76.185513,Benedict,Dexter,~,,,,Westside,Tipperary Hill,Stone Throwers Park,,EjFUb21wa2lucyBTdCAmIE1pbHRvbiBBdmUsIFN5cmFjdXNlLCBOWSAxMzIwNCwgVVNBImYiZAoUChIJlQa49F3x2YkRV1mEBKa_QNQSFAoSCZUGuPRd8dmJEVdZhASmv0DUGhQKEglDeWiMXfHZiRFoL72Pf_59DhoUChIJd4T-Kufw2YkRJRusPZZB8tgiCg0-YqgZFSQBl9I,43.0465598,-76.1855708,Coleman's Authentic Irish Pub,Cristoforo Colombo Discoverer of America
3,-76.151894,43.0517990000001,4,Clinton Serenade,Mural,126 South Salina Street,43.051799,-76.151894,Goss,Corky,Chip Miller,Acrylic on Stucco,2009.0,2009.0,Downtown,Clinton Square (near),On the side of First Niagra Bank (above the drive thru),https://www.syr.gov/files/sharedassets/public/1-boards-and-commissions/spac/public-art-images/moonlight-serenade_goss-and-miller_2009.jpg,EigxMjYgUyBTYWxpbmEgU3QsIFN5cmFjdXNlLCBOWSAxMzIwMiwgVVNBIjASLgoUChIJbyUiq7nz2YkRZJIblF6bNbAQfioUChIJc2bxXGj02YkRclgoPtXhMSc,43.0499754,-76.1523717,PMA Foods,East Onondaga Mural
4,-76.1506459999999,43.045603,5,Onondaga County Korea–Vietnam Veterans Memorial,Monument,232 East Onondaga St,43.045603,-76.150646,Kane,Kevin L.,,Polished red granite and aluminum,,1984.0,Downtown,Columbus Circle,Directly in Front of Plymouth Congregational Church,,ChIJj77smb7z2YkRYz6_5hNik0w,43.0458305,-76.14999449999999,Tall Paul's Hot Dogs,Onondaga County Korea–Vietnam Veterans Memorial
5,-76.162312,43.070187,6,LeMoyne Drinking Fountain,Monument,232 Washington Sq,43.070187,-76.162312,Corbett,Gail Sherman,,Bronze and Granite,,1908.0,Northside,Near Northeast,Washington Square Park,https://www.syr.gov/files/sharedassets/public/1-boards-and-commissions/spac/public-art-images/lemoyne-drinking-fountain_gail-corbett_1908.jpg,ChIJtS0KOJ3IxokRxAp1OKM5idU,39.94706,-75.1533699,Talula's Garden,Italian-American War Veterans
6,-76.149104,43.0468440000001,7,Cristoforo Colombo Discoverer of America,Monument,259 East Onondaga St,43.046844,-76.149104,Baldi,Lorenzo V.,,"Bronze, Pink Granite, Dark Grey Granite, Stone Cobbles and Cast Stone",,1934.0,Downtown,Columbus Circle,,,ChIJlWaZrr7z2YkRgkricg8u4HQ,43.0468207,-76.1498874,Tang Flavor Chinese Food Square,DecoRated Wall
7,-76.151855,43.056447,8,General Gustavus Sniper ,Monument,426 North Salina St,43.056447,-76.151855,Moynihan,Frederick,,Bronze and Granite,,1905.0,Northside,Little Italy,in Schlosser Park,,Eig0MjYgTiBTYWxpbmEgU3QsIFN5cmFjdXNlLCBOWSAxMzIwMywgVVNBIjESLwoUChIJG0Heh7bz2YkRLvcdJmfUfU8QqgMqFAoSCWUTyHLL89mJEQV1pRJa4ZRj,43.0565029,-76.1518609,SINBUN,Palladium
8,-76.1511389999999,43.0425260000001,9,Rock of the Marne,Monument,760 South Warren St,43.042526,-76.151139,Perry,Roland Hinton,,"Bronze, Pink Granite and Concrete",,1920.0,Southside,Gateway,Billings Park,,ChIJx8JvqP_fM4gR1rnmZsELPo0,41.236087,-80.80790999999999,Brother's Pizza,Untitled Sculpture
9,-76.1510289999999,43.0419610000001,10,Spanish War Memorial,Monument,764 South Warren St,43.041961,-76.151029,Ruggles Kitson,Theodore Alice,,Bronze and Granite,,1924.0,Southside,Southwest,Billings Park,,ChIJ85qwR7NhMYgRDp7QOsxI-LI,41.245162,-80.854891,Parkplace 24 Tavern,Immersive Cloud
10,-76.1533269999999,43.050729,11,Jerry Rescue Monument,Monument,"Clinton Square (between Water, Clinton and Salina Streets downtown)",43.050729,-76.153327,BuMann,Sharon,,Everdure bronze with patina,,1990.0,Downtown,Clinton Square,West end of Clinton Square,,ChIJG2iD2bnz2YkRjSIjHMhV98g,43.0515352,-76.1517966,Prime Steak House,Philip Eckel Memorial
11,-76.147506,43.034322,12,Libba Cotten Grove Memorial,Sculpture,East Castle St and South State St,43.034322,-76.147506,,,,,,1983.0,Southside,Gateway,In the park at the corner of Castle and State Streets,,ChIJKVjAyJHz2YkRf8BQCSzwq04,43.033474,-76.14711600000001,Rouf’s Pizza Wings and Snacks,Fireman's Bell Tower
12,-76.1465009999999,43.0483390000001,13,Philip Eckel Memorial,Monument,"East Genesee St, East Fayette St, and South Townsend St",43.048339,-76.146501,Carrick Brothers,,,Westerly Granite and Barre Granite,,1900.0,Downtown,Downtown,Fayette Firefighters Memorial Park,,EjVTIFRvd25zZW5kIFN0ICYgRSBGYXlldHRlIFN0LCBTeXJhY3VzZSwgTlkgMTMyMDIsIFVTQSJmImQKFAoSCd3lBRu789mJEaakVDl8Xl26EhQKEgnd5QUbu_PZiRGmpFQ5fF5duhoUChIJ38a37rzz2YkR_XvACSnZ7KIaFAoSCanqxJYI89mJEWfRzPzNEc43IgoNerKoGRVyGZ3S,43.0486138,-76.14562699999999,Jamaika Flava,Hamilton White Memorial
13,-76.146779,43.0483410000001,14,Fireman's Bell Tower,Monument,"East Genesee St, East Fayette St, and South Townsend St",43.048341,-76.146779,,,"Foundry of Bronze Bell: Menely, Troy, NY",Steel; Bronze,,1979.0,Downtown,Downtown,Fayette Firefighters Memorial Park,,EjVTIFRvd25zZW5kIFN0ICYgRSBGYXlldHRlIFN0LCBTeXJhY3VzZSwgTlkgMTMyMDIsIFVTQSJmImQKFAoSCd3lBRu789mJEaakVDl8Xl26EhQKEgnd5QUbu_PZiRGmpFQ5fF5duhoUChIJ38a37rzz2YkR_XvACSnZ7KIaFAoSCanqxJYI89mJEWfRzPzNEc43IgoNerKoGRVyGZ3S,43.0486138,-76.14562699999999,Jamaika Flava,"Collins Block Memorial - ""Firemen's Memorial"""
